,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
linpred[10],0.498,0.258,0.023,0.991,0.004,0.003,3776.0,3596.0,1.0
linpred[11],-0.329,0.222,-0.766,0.062,0.004,0.003,3517.0,3313.0,1.0
linpred[12],1.397,0.268,0.878,1.88,0.004,0.003,4259.0,3391.0,1.0
linpred[13],2.67,0.236,2.246,3.133,0.004,0.003,3844.0,3286.0,1.0
linpred[14],-0.484,0.272,-1.009,0.005,0.004,0.003,4296.0,3221.0,1.0
linpred[15],-0.832,0.253,-1.288,-0.329,0.004,0.003,4618.0,3324.0,1.0
linpred[16],0.767,0.323,0.191,1.392,0.005,0.003,4659.0,3547.0,1.0
linpred[17],-0.392,0.227,-0.804,0.038,0.004,0.003,4025.0,3479.0,1.0
linpred[18],-0.804,0.246,-1.266,-0.352,0.004,0.003,4508.0,3565.0,1.0
linpred[19],-0.377,0.243,-0.853,0.07,0.004,0.003,3855.0,3335.0,1.0
linpred[20],-0.152,0.242,-0.616,0.286,0.004,0.003,4374.0,3515.0,1.0
linpred[21],2.556,0.245,2.077,2.988,0.004,0.003,3693.0,3447.0,1.0
linpred[22],-0.366,0.278,-0.864,0.169,0.004,0.003,4167.0,3508.0,1.0
linpred[23],-0.869,0.258,-1.364,-0.415,0.004,0.003,3727.0,3330.0,1.0
linpred[24],2.937,0.235,2.461,3.346,0.004,0.003,3086.0,3078.0,1.0
linpred[25],-0.406,0.257,-0.927,0.044,0.004,0.003,4242.0,3273.0,1.0
linpred[26],-0.569,0.266,-1.072,-0.092,0.004,0.003,4379.0,3158.0,1.0
linpred[27],0.831,0.222,0.424,1.25,0.004,0.003,3606.0,3213.0,1.0
linpred[28],-0.439,0.322,-1.046,0.159,0.005,0.004,4405.0,3763.0,1.0
linpred[29],-0.8,0.27,-1.306,-0.286,0.004,0.003,3702.0,3011.0,1.0
linpred[30],0.726,0.244,0.267,1.17,0.004,0.003,4097.0,3522.0,1.0
linpred[31],-0.448,0.237,-0.877,0.015,0.004,0.003,3889.0,3321.0,1.0
linpred[32],-0.541,0.266,-1.052,-0.06,0.004,0.003,4015.0,3702.0,1.0
linpred[33],1.09,0.272,0.574,1.578,0.004,0.003,3801.0,3229.0,1.0
linpred[34],0.571,0.254,0.112,1.05,0.004,0.003,3919.0,3566.0,1.0
linpred[35],-0.305,0.225,-0.723,0.124,0.004,0.003,3980.0,3029.0,1.0
linpred[36],2.899,0.257,2.398,3.359,0.004,0.003,3963.0,3267.0,1.0
linpred[37],0.677,0.233,0.273,1.142,0.004,0.003,4306.0,3487.0,1.0
linpred[38],-0.153,0.244,-0.586,0.339,0.004,0.003,4098.0,3414.0,1.0
linpred[39],-0.284,0.25,-0.774,0.154,0.004,0.003,4013.0,3133.0,1.0
linpred[40],-1.199,0.291,-1.74,-0.649,0.004,0.003,4784.0,3076.0,1.0
linpred[41],-0.413,0.239,-0.869,0.032,0.004,0.003,3906.0,3291.0,1.0
linpred[42],-0.501,0.255,-0.977,-0.031,0.004,0.003,4335.0,3330.0,1.0
linpred[43],0.834,0.274,0.349,1.364,0.004,0.003,4579.0,3809.0,1.0
linpred[44],0.613,0.234,0.207,1.104,0.004,0.003,4252.0,3395.0,1.0
linpred[45],-0.513,0.286,-1.053,0.033,0.005,0.003,3730.0,3387.0,1.0
linpred[46],-0.24,0.266,-0.735,0.249,0.005,0.003,3380.0,3045.0,1.0
linpred[47],0.702,0.3,0.134,1.265,0.005,0.003,4413.0,3396.0,1.0
linpred[48],-0.136,0.244,-0.578,0.339,0.004,0.003,4148.0,2916.0,1.0
linpred[49],-0.464,0.249,-0.909,0.031,0.004,0.003,4266.0,3425.0,1.0
linpred[50],-0.865,0.285,-1.38,-0.33,0.004,0.003,4610.0,3389.0,1.0
linpred[51],1.208,0.225,0.808,1.645,0.003,0.002,4399.0,3656.0,1.0
linpred[52],-0.222,0.241,-0.676,0.215,0.004,0.003,4245.0,3378.0,1.0
linpred[53],-0.806,0.263,-1.28,-0.296,0.004,0.003,4388.0,3359.0,1.0
linpred[54],0.693,0.25,0.239,1.166,0.004,0.003,4449.0,3408.0,1.0
linpred[55],0.575,0.249,0.082,1.018,0.004,0.003,4517.0,3484.0,1.0
linpred[56],-0.379,0.241,-0.801,0.096,0.004,0.003,3556.0,3329.0,1.0
linpred[57],1.199,0.232,0.749,1.61,0.004,0.003,3571.0,3345.0,1.0
linpred[58],-0.081,0.248,-0.555,0.371,0.004,0.003,3765.0,3736.0,1.0
linpred[59],-0.073,0.238,-0.488,0.413,0.004,0.003,4111.0,3259.0,1.0
linpred[60],-0.226,0.285,-0.777,0.281,0.004,0.003,4013.0,3684.0,1.0
linpred[61],-0.135,0.262,-0.63,0.336,0.005,0.003,3239.0,3331.0,1.0
linpred[62],0.16,0.241,-0.278,0.622,0.004,0.003,4097.0,3258.0,1.0
linpred[63],-0.516,0.286,-1.033,0.033,0.004,0.003,4454.0,3641.0,1.0
linpred[64],0.451,0.329,-0.167,1.049,0.005,0.004,4455.0,3511.0,1.0
linpred[65],0.922,0.233,0.471,1.339,0.004,0.003,3718.0,3052.0,1.0
linpred[66],3.018,0.26,2.562,3.534,0.005,0.004,2636.0,2960.0,1.0
linpred[67],-0.371,0.265,-0.856,0.132,0.004,0.003,3765.0,3502.0,1.0
linpred[68],0.696,0.218,0.29,1.096,0.004,0.003,3602.0,3243.0,1.0
linpred[69],2.514,0.246,2.076,2.989,0.004,0.003,3864.0,3424.0,1.0
linpred[70],-0.324,0.246,-0.786,0.129,0.004,0.003,4101.0,3043.0,1.0
linpred[71],-0.212,0.312,-0.803,0.367,0.005,0.004,4410.0,3183.0,1.0
linpred[72],0.314,0.229,-0.118,0.747,0.004,0.003,3801.0,3219.0,1.0
linpred[73],0.476,0.247,0.024,0.948,0.004,0.003,3871.0,2891.0,1.0
linpred[74],-0.467,0.262,-0.98,0.005,0.004,0.003,3631.0,3312.0,1.0
linpred[75],-0.597,0.232,-1.008,-0.143,0.004,0.003,4179.0,3408.0,1.0
linpred[76],-0.762,0.259,-1.247,-0.293,0.004,0.003,3847.0,3193.0,1.0
linpred[77],-0.609,0.251,-1.106,-0.159,0.004,0.003,4290.0,3198.0,1.0
linpred[78],0.803,0.266,0.323,1.304,0.004,0.003,4700.0,3638.0,1.0
linpred[79],-0.489,0.292,-1.036,0.051,0.004,0.003,4295.0,3719.0,1.0
linpred[80],-0.679,0.274,-1.193,-0.183,0.004,0.003,4443.0,3355.0,1.0
linpred[81],1.236,0.24,0.77,1.665,0.004,0.003,4142.0,3096.0,1.0
linpred[82],-0.244,0.249,-0.705,0.217,0.004,0.003,3813.0,3082.0,1.0
linpred[83],-0.95,0.253,-1.442,-0.497,0.004,0.003,4131.0,3363.0,1.0
linpred[84],0.236,0.288,-0.281,0.805,0.005,0.004,3841.0,3215.0,1.0
linpred[85],-0.162,0.254,-0.615,0.343,0.004,0.003,4197.0,2866.0,1.0
linpred[86],0.44,0.224,0.038,0.875,0.004,0.003,3787.0,3396.0,1.0
linpred[87],1.635,0.238,1.2,2.072,0.004,0.003,3552.0,3312.0,1.0
linpred[88],0.626,0.25,0.143,1.075,0.005,0.003,2878.0,3030.0,1.0
linpred[89],-0.524,0.242,-0.969,-0.063,0.004,0.003,4112.0,3418.0,1.0
