,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[229],-0.001,0.015,-0.027,0.028,0.0,0.0,5237.0,3191.0,1.0
beta[230],-0.014,0.015,-0.041,0.013,0.0,0.0,4805.0,2867.0,1.0
beta[231],0.002,0.015,-0.027,0.029,0.0,0.0,5906.0,2990.0,1.0
beta[232],0.003,0.015,-0.023,0.032,0.0,0.0,5549.0,3352.0,1.0
beta[233],-0.001,0.014,-0.027,0.027,0.0,0.0,6673.0,2809.0,1.0
beta[234],0.001,0.014,-0.026,0.027,0.0,0.0,5495.0,3396.0,1.0
beta[235],0.003,0.015,-0.024,0.031,0.0,0.0,5388.0,3385.0,1.0
beta[236],0.002,0.015,-0.026,0.028,0.0,0.0,5880.0,2986.0,1.0
beta[237],0.004,0.014,-0.024,0.03,0.0,0.0,6292.0,3170.0,1.0
beta[238],0.005,0.014,-0.021,0.033,0.0,0.0,5687.0,3307.0,1.0
beta[239],0.007,0.015,-0.022,0.035,0.0,0.0,6495.0,3002.0,1.0
beta[240],-0.004,0.014,-0.031,0.023,0.0,0.0,5969.0,3359.0,1.0
beta[241],0.008,0.015,-0.02,0.035,0.0,0.0,6146.0,3315.0,1.0
beta[242],-0.003,0.015,-0.031,0.026,0.0,0.0,5728.0,3084.0,1.0
beta[243],-0.004,0.015,-0.031,0.026,0.0,0.0,5626.0,2801.0,1.0
beta[244],0.01,0.015,-0.018,0.038,0.0,0.0,5664.0,2749.0,1.0
beta[245],-0.001,0.015,-0.03,0.026,0.0,0.0,5920.0,2985.0,1.0
beta[246],0.007,0.014,-0.022,0.032,0.0,0.0,5680.0,3064.0,1.0
beta[247],-0.001,0.015,-0.026,0.029,0.0,0.0,6584.0,3129.0,1.0
beta[248],0.001,0.015,-0.027,0.029,0.0,0.0,6172.0,2985.0,1.0
beta[249],0.001,0.015,-0.029,0.026,0.0,0.0,6103.0,2942.0,1.0
